login_time,failed_attempts,login_location,label
15,6,Coimbatore,-1
19,4,Kochi,-1
8,1,Kollam,1
20,1,Kochi,1
11,1,Chennai,1
13,2,Kollam,1
13,1,Chennai,1
18,3,Kollam,1
17,0,Coimbatore,1
7,6,Chennai,-1
15,2,Kollam,1
16,2,Kochi,1
22,8,Kollam,-1
19,9,Coimbatore,-1
16,0,Kochi,1
0,4,Coimbatore,-1
18,1,Chennai,1
6,1,Kollam,1
8,1,Coimbatore,1
8,0,Kollam,1
13,8,Delhi,-1
7,2,Kollam,1
20,4,Kochi,-1
13,1,Coimbatore,1
5,3,Mumbai,-1
16,4,Hyderabad,-1
2,0,Chennai,-1
21,2,Coimbatore,1
13,2,Coimbatore,1
8,1,Kochi,1
20,7,Delhi,-1
17,0,Kollam,1
21,2,Kollam,1
10,3,Chennai,1
12,0,Coimbatore,1
23,0,Noida,-1
16,0,Kochi,1
20,2,Chennai,1
13,1,Kollam,1
14,0,Coimbatore,1
6,2,Kollam,1
4,9,Hyderabad,-1
12,5,Mumbai,-1
8,2,Chennai,1
3,9,Delhi,-1
14,0,Coimbatore,1
4,8,Mumbai,-1
11,0,Coimbatore,1
19,1,Kochi,1
12,2,Chennai,1
16,2,Kollam,1
17,1,Kollam,1
10,0,Kollam,1
16,1,Chennai,1
21,0,Kollam,1
14,2,Chennai,1
13,0,Chennai,1
4,2,Delhi,-1
4,1,Delhi,-1
22,3,Delhi,-1
19,2,Coimbatore,1
7,6,Kochi,-1
9,2,Chennai,1
14,2,Coimbatore,1
12,2,Kollam,1
4,1,Kollam,-1
21,1,Coimbatore,1
7,7,Kollam,-1
7,2,Coimbatore,1
21,1,Kochi,1
19,1,Chennai,1
8,2,Chennai,1
8,0,Noida,-1
8,0,Kollam,1
22,9,Mumbai,-1
20,0,Kollam,1
8,2,Kochi,1
1,1,Mumbai,-1
19,2,Chennai,1
7,2,Kochi,1
18,0,Kochi,1
11,0,Coimbatore,1
10,2,Kochi,1
20,1,Kochi,1
17,0,Chennai,1
6,1,Chennai,1
2,0,Kochi,-1
19,1,Coimbatore,1
6,0,Kollam,1
17,0,Kochi,1
18,2,Kochi,1
11,7,Delhi,-1
10,0,Coimbatore,1
21,2,Coimbatore,1
21,0,Chennai,1
10,1,Coimbatore,1
8,1,Chennai,1
12,6,Kochi,-1
7,2,Kochi,1
12,0,Chennai,1
18,2,Kollam,1
6,9,Noida,-1
15,2,Kollam,1
18,2,Kollam,1
21,7,Hyderabad,-1
9,0,Kollam,1
6,0,Kollam,1
17,0,Kochi,1
19,1,Chennai,1
20,0,Coimbatore,1
17,0,Kochi,1
21,2,Kochi,1
11,1,Kochi,1
19,0,Coimbatore,1
21,1,Chennai,1
19,0,Kollam,1
21,2,Coimbatore,1
16,2,Hyderabad,-1
7,0,Chennai,1
6,1,Kochi,1
9,2,Hyderabad,-1
12,1,Kochi,1
19,1,Noida,-1
16,2,Kollam,1
19,2,Kochi,1
6,3,Chennai,1
0,1,Delhi,-1
16,1,Kochi,1
19,1,Coimbatore,1
10,0,Kollam,1
15,2,Coimbatore,1
8,7,Mumbai,-1
9,9,Noida,-1
16,1,Kochi,1
1,6,Coimbatore,-1
1,7,Noida,-1
9,0,Kochi,1
20,5,Coimbatore,-1
15,0,Kochi,1
17,0,Coimbatore,1
16,1,Kochi,1
21,8,Hyderabad,-1
6,0,Coimbatore,1
12,1,Coimbatore,1
16,2,Delhi,-1
6,1,Coimbatore,1
12,0,Kollam,1
21,2,Kochi,1
9,1,Kochi,1
14,1,Kochi,1
22,6,Delhi,-1
16,2,Kollam,1
8,0,Coimbatore,1
7,2,Chennai,1
16,0,Coimbatore,1
11,1,Coimbatore,1
5,8,Noida,-1
11,2,Kollam,1
19,0,Kochi,1
16,0,Coimbatore,1
12,2,Chennai,1
19,0,Chennai,1
12,0,Kollam,1
16,2,Kollam,1
9,6,Coimbatore,-1
20,3,Coimbatore,1
10,4,Coimbatore,-1
20,2,Kochi,1
10,2,Kollam,1
20,0,Kochi,1
13,3,Hyderabad,-1
15,1,Kollam,1
10,0,Coimbatore,1
18,2,Coimbatore,1
17,1,Chennai,1
12,0,Kochi,1
9,1,Coimbatore,1
11,1,Kochi,1
21,3,Kollam,1
6,8,Delhi,-1
13,2,Kollam,1
12,1,Kollam,1
9,2,Chennai,1
8,1,Coimbatore,1
20,0,Kochi,1
18,2,Hyderabad,-1
10,0,Kollam,1
18,0,Coimbatore,1
17,0,Kochi,1
10,2,Kochi,1
11,1,Kochi,1
17,2,Kochi,1
5,7,Kollam,-1
15,1,Coimbatore,1
8,8,Coimbatore,-1
7,2,Kollam,1
20,0,Kollam,1
8,0,Chennai,1
12,5,Chennai,-1
6,1,Kochi,1
17,0,Coimbatore,1
14,2,Kollam,1
17,9,Noida,-1
10,5,Coimbatore,-1
1,9,Kochi,-1
18,2,Chennai,1
17,0,Kochi,1
18,0,Kollam,1
7,1,Chennai,1
1,1,Kochi,-1
7,2,Kochi,1
10,2,Coimbatore,1
18,2,Chennai,1
19,1,Kollam,1
10,1,Kochi,1
21,2,Coimbatore,1
20,2,Kollam,1
10,8,Hyderabad,-1
13,9,Coimbatore,-1
16,2,Kollam,1
8,1,Kollam,1
12,8,Hyderabad,-1
20,0,Coimbatore,1
13,0,Coimbatore,1
14,2,Coimbatore,1
8,2,Kochi,1
3,2,Mumbai,-1
8,0,Kollam,1
9,2,Kollam,1
11,0,Coimbatore,1
15,2,Kollam,1
9,6,Chennai,-1
18,0,Kochi,1
19,0,Coimbatore,1
20,0,Coimbatore,1
10,1,Coimbatore,1
18,0,Coimbatore,1
3,5,Mumbai,-1
20,0,Chennai,1
16,0,Kollam,1
12,2,Chennai,1
13,2,Chennai,1
18,2,Kochi,1
23,2,Kollam,-1
12,1,Kochi,1
8,5,Coimbatore,-1
18,1,Chennai,1
7,2,Chennai,1
20,2,Kollam,1
13,2,Coimbatore,1
6,2,Kollam,1
0,5,Hyderabad,-1
14,1,Coimbatore,1
9,2,Kollam,1
7,2,Coimbatore,1
12,1,Chennai,1
12,1,Chennai,1
20,2,Chennai,1
15,1,Kollam,1
18,2,Coimbatore,1
6,8,Kochi,-1
19,2,Chennai,1
23,2,Chennai,-1
7,2,Kochi,1
21,0,Chennai,1
0,2,Delhi,-1
20,0,Chennai,1
6,0,Chennai,1
11,0,Kochi,1
9,2,Kochi,1
13,0,Coimbatore,1
11,0,Chennai,1
6,0,Kollam,1
6,2,Kochi,1
18,2,Coimbatore,1
7,1,Coimbatore,1
14,2,Coimbatore,1
13,2,Chennai,1
12,0,Kollam,1
19,9,Mumbai,-1
12,0,Coimbatore,1
6,0,Kollam,1
14,2,Delhi,-1
12,2,Coimbatore,1
8,1,Coimbatore,1
18,0,Chennai,1
7,2,Chennai,1
9,1,Kollam,1
6,2,Hyderabad,-1
12,2,Chennai,1
18,1,Kollam,1
9,7,Chennai,-1
14,5,Kollam,-1
21,1,Kochi,1
13,2,Kollam,1
4,8,Kollam,-1
14,2,Coimbatore,1
16,1,Coimbatore,1
16,1,Delhi,-1
20,0,Coimbatore,1
21,2,Coimbatore,1
6,0,Kollam,1
15,9,Coimbatore,-1
15,0,Coimbatore,1
16,0,Kochi,1
12,1,Kochi,1
12,2,Kollam,1
21,1,Kochi,1
17,1,Chennai,1
12,0,Kollam,1
10,2,Chennai,1
19,7,Delhi,-1
13,3,Coimbatore,1
6,1,Kollam,1
21,1,Kochi,1
13,0,Coimbatore,1
6,2,Kollam,1
15,2,Coimbatore,1
19,0,Kochi,1
9,3,Chennai,1
14,2,Chennai,1
21,0,Kollam,1
19,2,Kollam,1
12,2,Kollam,1
10,3,Kollam,1
16,9,Delhi,-1
7,1,Kochi,1
23,5,Kochi,-1
16,6,Delhi,-1
21,2,Coimbatore,1
7,6,Mumbai,-1
11,0,Coimbatore,1
12,0,Kollam,1
21,1,Kochi,1
1,4,Mumbai,-1
18,2,Kollam,1
20,2,Kochi,1
7,2,Chennai,1
12,0,Kochi,1
19,2,Kochi,1
8,2,Kollam,1
17,1,Kochi,1
14,1,Coimbatore,1
12,2,Kochi,1
7,0,Kochi,1
15,1,Coimbatore,1
7,2,Kollam,1
9,2,Coimbatore,1
11,1,Coimbatore,1
6,0,Kollam,1
19,0,Kochi,1
21,5,Hyderabad,-1
20,1,Kochi,1
21,2,Coimbatore,1
17,1,Kollam,1
22,3,Noida,-1
16,0,Kochi,1
16,1,Chennai,1
18,0,Chennai,1
10,2,Coimbatore,1
11,0,Chennai,1
10,0,Kochi,1
16,1,Kollam,1
17,0,Kollam,1
23,6,Kochi,-1
12,2,Kollam,1
6,0,Coimbatore,1
18,2,Kollam,1
7,0,Chennai,1
21,9,Kochi,-1
16,2,Coimbatore,1
17,1,Chennai,1
17,0,Kochi,1
16,1,Chennai,1
19,1,Kollam,1
16,1,Chennai,1
20,7,Kochi,-1
20,1,Coimbatore,1
20,2,Coimbatore,1
21,0,Chennai,1
20,0,Coimbatore,1
13,1,Coimbatore,1
20,2,Kollam,1
16,0,Kochi,1
12,1,Kochi,1
22,8,Kollam,-1
8,0,Kollam,1
19,0,Kollam,1
10,1,Mumbai,-1
3,0,Delhi,-1
0,7,Delhi,-1
21,0,Coimbatore,1
11,2,Chennai,1
10,1,Chennai,1
14,2,Chennai,1
14,1,Coimbatore,1
7,2,Coimbatore,1
10,2,Chennai,1
20,2,Chennai,1
14,2,Chennai,1
9,1,Kochi,1
8,0,Coimbatore,1
10,1,Kollam,1
20,1,Coimbatore,1
11,0,Kollam,1
11,7,Kollam,-1
17,2,Coimbatore,1
8,1,Kochi,1
6,2,Coimbatore,1
9,1,Coimbatore,1
16,2,Kochi,1
7,0,Kochi,1
19,8,Kollam,-1
6,1,Kochi,1
10,2,Kollam,1
8,0,Coimbatore,1
23,4,Delhi,-1
19,3,Delhi,-1
1,4,Coimbatore,-1
12,1,Coimbatore,1
21,1,Kochi,1
22,9,Chennai,-1
1,2,Hyderabad,-1
12,2,Kochi,1
17,2,Kochi,1
14,0,Coimbatore,1
13,2,Kollam,1
9,0,Kollam,1
5,0,Noida,-1
14,0,Coimbatore,1
8,0,Coimbatore,1
4,0,Kollam,-1
8,0,Coimbatore,1
7,0,Coimbatore,1
14,2,Kollam,1
4,0,Kochi,-1
20,2,Kollam,1
7,2,Coimbatore,1
10,1,Coimbatore,1
22,5,Delhi,-1
20,1,Chennai,1
14,2,Kollam,1
18,2,Chennai,1
14,1,Coimbatore,1
16,1,Kochi,1
14,2,Kollam,1
7,0,Coimbatore,1
10,2,Noida,-1
10,1,Kochi,1
14,1,Kochi,1
20,2,Chennai,1
22,3,Kochi,-1
18,1,Kochi,1
18,2,Coimbatore,1
9,1,Coimbatore,1
6,1,Chennai,1
11,2,Kochi,1
8,0,Chennai,1
14,3,Mumbai,-1
20,0,Chennai,1
7,9,Kollam,-1
15,2,Kollam,1
6,0,Chennai,1
9,1,Kollam,1
7,2,Kochi,1
15,0,Kochi,1
11,1,Coimbatore,1
7,2,Coimbatore,1
14,3,Noida,-1
11,2,Kochi,1
20,2,Kochi,1
13,2,Coimbatore,1
19,2,Kollam,1
15,2,Kollam,1
8,8,Kollam,-1
11,6,Kochi,-1
10,3,Delhi,-1
8,0,Chennai,1
19,2,Kochi,1
13,0,Coimbatore,1
9,1,Kollam,1
15,0,Coimbatore,1
17,7,Kochi,-1
17,2,Kollam,1
21,1,Kollam,1
4,4,Kochi,-1
18,2,Chennai,1
9,1,Kollam,1
8,2,Chennai,1
16,2,Kollam,1
10,1,Kochi,1
21,1,Chennai,1
18,1,Kollam,1
20,2,Chennai,1
7,0,Coimbatore,1
8,4,Chennai,-1
13,2,Chennai,1
4,8,Hyderabad,-1
15,2,Kollam,1
18,2,Coimbatore,1
9,2,Kochi,1
15,2,Chennai,1
18,2,Kochi,1
15,1,Kochi,1
9,0,Coimbatore,1
16,0,Kollam,1
6,7,Chennai,-1
10,8,Mumbai,-1
16,0,Kollam,1
12,1,Chennai,1
19,1,Chennai,1
14,2,Coimbatore,1
22,8,Kollam,-1
20,2,Chennai,1
18,1,Kollam,1
21,0,Kochi,1
12,1,Coimbatore,1
20,1,Coimbatore,1
7,2,Chennai,1
19,2,Chennai,1
10,0,Kochi,1
10,2,Chennai,1
17,0,Kollam,1
14,1,Kochi,1
16,2,Chennai,1
7,9,Kollam,-1
0,2,Kochi,-1
22,6,Chennai,-1
15,1,Kollam,1
15,8,Kochi,-1
19,0,Kollam,1
16,9,Noida,-1
11,2,Coimbatore,1
12,9,Coimbatore,-1
17,1,Coimbatore,1
5,5,Chennai,-1
8,2,Coimbatore,1
7,2,Kochi,1
19,2,Chennai,1
20,2,Kochi,1
3,8,Mumbai,-1
20,2,Kollam,1
18,2,Kollam,1
7,8,Chennai,-1
12,1,Kochi,1
7,0,Kochi,1
23,1,Kollam,-1
22,1,Coimbatore,-1
15,0,Kochi,1
8,1,Chennai,1
21,8,Coimbatore,-1
20,0,Coimbatore,1
18,5,Kochi,-1
15,2,Coimbatore,1
6,2,Chennai,1
20,1,Coimbatore,1
19,0,Hyderabad,-1
7,1,Kochi,1
12,2,Coimbatore,1
23,3,Kochi,-1
2,2,Mumbai,-1
3,9,Hyderabad,-1
18,7,Chennai,-1
12,2,Kollam,1
23,8,Coimbatore,-1
15,5,Coimbatore,-1
21,0,Chennai,1
11,3,Hyderabad,-1
4,8,Delhi,-1
12,1,Chennai,1
20,1,Mumbai,-1
6,2,Chennai,1
9,1,Chennai,1
17,0,Kochi,1
1,7,Coimbatore,-1
8,6,Mumbai,-1
8,4,Hyderabad,-1
6,1,Coimbatore,1
9,2,Kollam,1
21,2,Kochi,1
14,2,Kollam,1
18,1,Coimbatore,1
21,0,Kollam,1
14,5,Hyderabad,-1
9,1,Coimbatore,1
20,5,Coimbatore,-1
6,2,Chennai,1
15,2,Kochi,1
17,2,Kollam,1
13,1,Kochi,1
18,2,Coimbatore,1
12,8,Hyderabad,-1
8,2,Kochi,1
7,2,Coimbatore,1
11,2,Mumbai,-1
16,6,Chennai,-1
17,1,Kollam,1
6,3,Noida,-1
7,0,Kollam,1
15,2,Coimbatore,1
8,2,Chennai,1
14,0,Kollam,1
8,0,Coimbatore,1
18,9,Coimbatore,-1
21,0,Kochi,1
15,1,Coimbatore,1
20,4,Chennai,-1
9,9,Hyderabad,-1
11,2,Chennai,1
10,0,Kollam,1
13,2,Coimbatore,1
12,2,Kochi,1
20,0,Chennai,1
7,9,Kollam,-1
12,0,Chennai,1
3,0,Kollam,-1
18,2,Chennai,1
10,2,Hyderabad,-1
8,1,Kollam,1
19,0,Chennai,1
12,1,Kochi,1
19,2,Delhi,-1
7,3,Delhi,-1
5,2,Noida,-1
21,1,Chennai,1
13,2,Chennai,1
16,2,Coimbatore,1
9,2,Coimbatore,1
18,0,Chennai,1
8,1,Kollam,1
6,6,Hyderabad,-1
13,2,Chennai,1
8,0,Kollam,1
11,7,Kollam,-1
15,0,Kollam,1
13,2,Chennai,1
13,2,Chennai,1
20,1,Kollam,1
21,0,Coimbatore,1
9,0,Chennai,1
21,2,Coimbatore,1
19,1,Chennai,1
11,2,Coimbatore,1
21,0,Kollam,1
18,0,Chennai,1
15,9,Chennai,-1
2,4,Kollam,-1
23,4,Kollam,-1
23,9,Coimbatore,-1
15,1,Kollam,1
14,2,Kochi,1
20,1,Kochi,1
15,2,Kochi,1
23,7,Kollam,-1
0,5,Coimbatore,-1
19,7,Chennai,-1
1,5,Noida,-1
11,2,Coimbatore,1
10,2,Coimbatore,1
15,7,Mumbai,-1
11,0,Delhi,-1
3,2,Hyderabad,-1
20,5,Noida,-1
14,0,Chennai,1
9,5,Mumbai,-1
19,7,Noida,-1
7,2,Kollam,1
22,3,Coimbatore,-1
13,1,Kollam,1
11,0,Chennai,1
23,6,Hyderabad,-1
18,1,Chennai,1
16,2,Chennai,1
9,1,Kollam,1
13,1,Coimbatore,1
6,1,Coimbatore,1
3,2,Kollam,-1
16,2,Kochi,1
18,1,Coimbatore,1
19,0,Kollam,1
7,3,Noida,-1
13,6,Mumbai,-1
20,2,Kochi,1
17,5,Noida,-1
21,1,Coimbatore,1
9,2,Coimbatore,1
9,1,Chennai,1
19,0,Chennai,1
6,1,Chennai,1
2,8,Hyderabad,-1
14,0,Kollam,1
15,0,Kochi,1
8,8,Mumbai,-1
12,0,Kochi,1
6,0,Kollam,1
20,2,Coimbatore,1
9,1,Kollam,1
19,2,Kollam,1
13,2,Kochi,1
4,3,Chennai,-1
18,5,Kochi,-1
18,1,Kollam,1
21,2,Chennai,1
7,1,Kollam,1
17,2,Kollam,1
3,9,Kollam,-1
14,2,Mumbai,-1
21,7,Kochi,-1
12,0,Chennai,1
13,3,Kochi,1
20,0,Kochi,1
8,0,Coimbatore,1
15,1,Kollam,1
6,0,Chennai,1
19,7,Delhi,-1
14,0,Coimbatore,1
15,3,Coimbatore,1
17,0,Kollam,1
18,1,Chennai,1
11,0,Kochi,1
9,2,Kollam,1
17,0,Chennai,1
7,1,Chennai,1
20,0,Coimbatore,1
7,1,Kochi,1
6,2,Kochi,1
22,1,Kollam,-1
12,9,Delhi,-1
1,0,Kochi,-1
9,8,Hyderabad,-1
16,1,Kollam,1
18,2,Kochi,1
7,2,Kollam,1
19,1,Chennai,1
13,3,Kochi,1
20,1,Kochi,1
19,1,Kochi,1
9,0,Chennai,1
14,1,Kochi,1
16,4,Kochi,-1
13,1,Kollam,1
18,2,Kollam,1
19,3,Kollam,1
14,2,Chennai,1
23,7,Chennai,-1
9,2,Chennai,1
19,0,Coimbatore,1
6,0,Coimbatore,1
3,7,Delhi,-1
21,0,Kochi,1
13,7,Noida,-1
13,2,Kochi,1
1,1,Kochi,-1
12,2,Chennai,1
7,5,Kollam,-1
17,2,Kollam,1
7,0,Kochi,1
18,7,Kollam,-1
3,7,Kochi,-1
13,2,Coimbatore,1
14,0,Kollam,1
21,2,Kochi,1
6,0,Kochi,1
21,0,Kollam,1
14,2,Delhi,-1
5,4,Kollam,-1
16,2,Kochi,1
9,1,Kochi,1
16,0,Chennai,1
19,9,Delhi,-1
18,2,Chennai,1
17,2,Coimbatore,1
16,7,Delhi,-1
7,2,Coimbatore,1
13,2,Kochi,1
10,1,Kochi,1
10,2,Chennai,1
10,1,Kochi,1
9,2,Chennai,1
8,1,Chennai,1
13,0,Chennai,1
20,2,Chennai,1
15,2,Coimbatore,1
12,2,Chennai,1
20,1,Kochi,1
21,0,Coimbatore,1
20,0,Kochi,1
3,6,Hyderabad,-1
15,9,Kollam,-1
21,0,Kochi,1
17,4,Coimbatore,-1
6,2,Chennai,1
6,2,Kochi,1
13,1,Coimbatore,1
13,1,Kochi,1
20,1,Kochi,1
12,2,Kochi,1
13,7,Delhi,-1
14,0,Kollam,1
22,5,Kollam,-1
6,1,Kollam,1
16,8,Hyderabad,-1
14,1,Coimbatore,1
18,6,Noida,-1
0,7,Mumbai,-1
21,6,Kollam,-1
6,2,Chennai,1
12,3,Noida,-1
9,0,Chennai,1
17,7,Kochi,-1
11,0,Kollam,1
16,2,Chennai,1
1,4,Noida,-1
8,5,Kochi,-1
22,7,Chennai,-1
9,0,Kollam,1
6,1,Coimbatore,1
16,2,Chennai,1
6,2,Chennai,1
4,4,Kollam,-1
14,1,Kollam,1
0,0,Kollam,-1
14,2,Coimbatore,1
22,0,Chennai,-1
2,4,Kollam,-1
21,1,Coimbatore,1
20,2,Coimbatore,1
9,2,Kollam,1
11,0,Kollam,1
1,1,Mumbai,-1
6,0,Delhi,-1
6,0,Kollam,1
15,2,Coimbatore,1
21,0,Kochi,1
16,2,Coimbatore,1
9,3,Mumbai,-1
11,2,Kollam,1
10,0,Coimbatore,1
6,0,Kochi,1
13,1,Chennai,1
11,2,Chennai,1
19,2,Kollam,1
22,8,Mumbai,-1
20,0,Coimbatore,1
12,2,Kollam,1
6,9,Chennai,-1
7,1,Kollam,1
18,0,Chennai,1
16,0,Kochi,1
8,0,Kochi,1
16,2,Chennai,1
15,0,Kochi,1
9,1,Coimbatore,1
17,7,Chennai,-1
3,6,Noida,-1
6,1,Kochi,1
19,2,Coimbatore,1
12,0,Coimbatore,1
3,1,Kollam,-1
10,1,Kochi,1
4,1,Kochi,-1
12,2,Kollam,1
17,2,Coimbatore,1
18,8,Kollam,-1
6,0,Chennai,1
7,2,Coimbatore,1
9,2,Coimbatore,1
12,0,Noida,-1
17,1,Kochi,1
10,0,Chennai,1
14,1,Kollam,1
17,2,Chennai,1
15,1,Kochi,1
11,1,Chennai,1
16,2,Chennai,1
2,4,Mumbai,-1
21,0,Kochi,1
17,1,Kollam,1
14,1,Chennai,1
6,1,Chennai,1
11,2,Coimbatore,1
15,2,Kochi,1
6,0,Kochi,1
19,9,Coimbatore,-1
11,2,Kochi,1
19,1,Chennai,1
6,4,Delhi,-1
6,0,Kochi,1
14,0,Coimbatore,1
12,1,Kochi,1
23,3,Mumbai,-1
16,0,Chennai,1
12,1,Kollam,1
17,2,Chennai,1
12,1,Kochi,1
8,6,Mumbai,-1
18,2,Chennai,1
12,0,Chennai,1
9,1,Kochi,1
21,2,Chennai,1
17,0,Coimbatore,1
9,1,Coimbatore,1
15,1,Kochi,1
13,2,Kollam,1
9,1,Chennai,1
17,0,Kochi,1
5,6,Kollam,-1
16,1,Chennai,1
17,0,Kollam,1
13,2,Kollam,1
11,0,Mumbai,-1
17,1,Chennai,1
14,2,Kochi,1
